Product	Variant	SKU	On hand	Available	Committed	Incoming	Reserved	Damaged	Level GID
ALP Drifters Watermelon Kiwi Ice Nicotine Pouches - D2R	12MG	ALP-DRIFTER-WATERMELON-12MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153184959
ALP Drifters Mango Freeze Nicotine Pouches - D2R	12MG	ALP-DRIFTER-MANGO-12MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153348799
ALP Drifters Blueberry Lemonade Ice Nicotine Pouches - D2R	12MG	ALP-DRIFTER-BLUEBERRY-12MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047154200767
ALP Drifters Lemon Raspberry Nicotine Pouches - D2R	12MG	ALP-DRIFTER-LEMONRASPBERRY-12MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153807551
ALP Drifters Island Peach Nicotine Pouches - D2R	12MG	ALP-DRIFTER-PEACH-12MG-D2R	1	1	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047154036927
ALP Tropical Fruit Nicotine Pouches - D2R	3MG	ALP-TROPICAL-3MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783908704447
ALP Chilled Mint Nicotine Pouches - D2R	3MG	ALP-CHILLEDMINT-3MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783929643199
ALP Mountain Wintergreen Nicotine Pouches - D2R	3MG	ALP-WINTERGEEN-3MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47784002977983
ALP Drifters Mango Freeze Nicotine Pouches - D2R	6MG	ALP-DRIFTER-MANGO-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153316031
ALP Chilled Mint Nicotine Pouches - D2R	6MG	ALP-CHILLEDMINT-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783929675967
ALP Mountain Wintergreen Nicotine Pouches - D2R	6MG	ALP-WINTERGEEN-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47784003010751
ALP Tropical Fruit Nicotine Pouches - D2R	6MG	ALP-TROPICAL-6MG-D2R	1	1	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783908737215
ALP Sweet Nectar Nicotine Pouches - D2R	6MG	ALP-NECTAR-6MG-D2R	5	5	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783946584255
ALP Drifters Watermelon Kiwi Ice Nicotine Pouches - D2R	6MG	ALP-DRIFTER-WATERMELON-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153152191
ALP Drifters Blueberry Lemonade Ice Nicotine Pouches - D2R	6MG	ALP-DRIFTER-BLUEBERRY-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047154167999
ALP Drifters Island Peach Nicotine Pouches - D2R	6MG	ALP-DRIFTER-PEACH-6MG-D2R	1	1	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047154004159
ALP Drifters Lemon Raspberry Nicotine Pouches - D2R	6MG	ALP-DRIFTER-LEMONRASPBERRY-6MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=48047153774783
ALP Sweet Nectar Nicotine Pouches - D2R	9MG	ALP-NECTAR-9MG-D2R	5	5	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783946617023
ALP Chilled Mint Nicotine Pouches - D2R	9MG	ALP-CHILLEDMINT-9MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783929708735
ALP Mountain Wintergreen Nicotine Pouches - D2R	9MG	ALP-WINTERGEEN-9MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47784003043519
ALP Tropical Fruit Nicotine Pouches - D2R	9MG	ALP-TROPICAL-9MG-D2R	0	0	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783908769983
CAFFEINE BREAK Peppermint Caffeine Pouches - D2R	Default Title	ALP-CB-PEPPERMINT-D2R	36	36	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783797817535
CAFFEINE BREAK Spicy Cinnamon Caffeine Pouches - D2R	Default Title	ALP-CB-CINNAMON-D2R	36	36	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783838679231
CAFFEINE BREAK Wintergreen Caffeine Pouches - D2R	Default Title	ALP-CB-WINTERGREEN-D2R	36	36	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783862501567
Product Display	Default Title	DISPLAY-D2R	18	18	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47794734858431
CAFFEINE BREAK Black Cherry Caffeine Pouches - D2R	Default Title	ALP-CB-BLACKCHERRY-D2R	36	36	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783850377407
CAFFEINE BREAK Coffee Break Caffeine Pouches - D2R	Default Title	ALP-CB-COFFEE-D2R	36	36	0	0	0	0	gid://shopify/InventoryLevel/119963222207?inventory_item_id=47783905263807
